id,jenis_usaha,judul,kbli,kementrian,perizinan,sub_kbli,uraian
2210,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MOBIL, BUS, TRUK DAN SEJENISNYA",77100,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) semua jenis alat transportasi darat tanpa operatornya seperti mobil, truk dan mobil derek. Penyewaan atau sewa guna usaha tanpa hak opsi alat transportasi darat dengan operatornya dicakup dalam golongan 492 dan 494. Penyewaan sepeda dicakup dalam kelompok 77210."
2211,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI BARANG PRIBADI DAN RUMAH TANGGA",772,,,,"Golongan ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) barang pribadi dan rumah tangga seperti halnya kegiatan penyewaan peralatan olahraga dan rekreasi serta video tape. Kegiatan ini umumnya mencakup penyewaan jangka pendek barang meskipun untuk kondisi tertentu, barang tersebut mungkin disewa untuk jangka panjang."
2212,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT REKREASI DAN OLAHRAGA",7721,,,,"Subgolongan ini mencakup :- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) alat rekreasi dan olahraga, seperti kapal pesiar, perahu kano, perahu layar, sepeda, kursi dan payung pantai, alat olahraga lainnya termasuk peralatan skiSubgolongan ini tidak mencakup :- Kegiatan penyewaan kaset video dan disket, lihat 7722- Kegiatan penyewaan barang pribadi dan rumah tangga lainnya, lihat 7729 - Kegiatan penyewaan alat untuk hobi dan kesenangan sebagai bagian terintegrasi dari fasilitas rekreasi, lihat 9329"
2213,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT REKREASI DAN OLAHRAGA",77210,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) semua jenis barang untuk keperluan rekreasi dan olahraga, seperti peralatan olahraga air, perahu kano dan perahu layar, kurdi dan payung pantai, sepeda dan peralatan olahraga lainnya. Termasuk peralatan ski dan kapal pesiar. Sewa guna usaha dengan hak opsi (financial leasing) dicakup dalam 6491."
2214,,"AKTIVITAS PENYEWAAN KASET VIDEO, CD, VCD/DVD DAN SEJENISNYA",7722,,,,"Subgolongan ini mencakup penyewaan kaset video, rekaman, CD, VCD/DVD dan lain-lain."
2215,,"AKTIVITAS PENYEWAAN KASET VIDEO, CD, VCD/DVD DAN SEJENISNYA",77220,,,,"Kelompok ini mencakup kegiatan penyewaan barang-barang hasil perekaman, seperti video tape, kaset video, rekaman, CD, VCD/DVD, MP3 dan sejenisnya."
2216,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI BARANG PRIBADI DAN RUMAH TANGGA LAIN YTDL",7729,,,,"Subgolongan ini mencakup kegiatan penyewaan semua jenis barang pribadi atau rumah tangga, untuk keperluan rumah tangga atau industri (kecuali alat rekreasi dan olahraga)Subgolongan ini mencakup :- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi semua jenis barang pribadi atau rumah tangga, seperti tekstil, pakaian jadi dan alas kaki, perhiasan, furnitur rumah tangga, tembikar dan gelas, alat makan minum dan dapur, alat listrik, perabot rumah tangga- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi alat musik - Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi peralatan pesta, seperti dekor dan kostum- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi barang cetakan dan penerbitan, seperti buku, jurnal, majalah- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi bunga dan tanaman- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi mesin dan alat untuk amatir atau sebagai hobi misal alat perkakas untuk memperbaiki rumah- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi alat elektronik untuk penggunaan rumah tanggaSubgolongan ini tidak mencakup :- Kegiatan pembiayaan (financial leasing), lihat 6491- Kegiatan penyewaan mobil, truk, trailer dan kendaraan rekreasi tanpa sopir, lihat 7710- Kegiatan penyewaan barang rekreasi dan olahraga, lihat 7721- Kegiatan penyewaan kaset video dan disket, lihat 7722- Kegiatan penyewaan sepeda motor dan karavan tanpa sopir, lihat 7731- Kegiatan penyewaan furnitur kantor, lihat 7739- Penyiapan kain linen, seragam kerja, dan barang terkait oleh penatu, lihat 9620"
2217,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT PESTA",77291,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi semua jenis barang untuk keperluan pesta, seperti tenda, kursi tamu, kursi pelamin dan dekor serta kostum, peralatan makan dan saji, peralatan musik dan perlengkapan pesta lainnya."
2218,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI BARANG KEPERLUAN RUMAH TANGGA DAN PRIBADI",77292,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) semua jenis barang untuk keperluan rumah tangga dan pribadi termasuk furnitur, peralatan dapur dan alat rumah tangga dari listrik, seperti tekstil, pakaian jadi, alas kaki, perhiasan, tempat tidur, lemari, panci, kompor, pisau, mesin cuci, kulkas, dispenser, dan lain- lain. Sewa guna usaha dengan hak opsi (financial leasing) dicakup pada 6491."
2219,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI BARANG HASIL PENCETAKAN DAN PENERBITAN",77293,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) barang-barang hasil pencetakan dan penerbitan, seperti buku, majalah, komik, kliping koran dan lain-lain."
2220,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI BUNGA DAN TANAMAN HIAS",77294,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (opeartional leasing) semua jenis bunga dan tanaman hias, seperti tanaman untuk pesta, dan lain-lain."
2221,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT MUSIK",77295,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) peralatan musik, seperti gitar, drum, organ dan alat musik lainnya."
2222,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI BARANG KEPERLUAN RUMAH TANGGA DAN PRIBADI LAINNYA YTDL",77299,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) semua jenis barang untuk keperluan rumah tangga dan pribadi yang belum diklasifikan dalam kelompok 77291 s.d. 77295, seperti peralatan elektronik rumah tangga, televisi, radio, mesin dan perkakas rumah tangga yang biasanya merupakan peralatan hobi untuk memperbaiki peralatan rumah tangga, dan lain-lain. Termasuk kegiatan penyewaan ikan hias dengan akuarium, dapat dilengkapi dengan usaha jasa perawatan dan pembersihannya."
2223,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN, PERALATAN DAN BARANG BERWUJUD LAINNYA",773,,,,"Golongan ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operasional leasing) mesin, peralatan dan barang berwujud lainnya, tanpa operator yang umumnya dipakai sebagai barang modal usaha. Golongan ini juga mencakup semua jenis peralatan yang digunakan dalam proses produksi.Golongan ini tidak mencakup kegiatan penyewaan mesin atau peralatan pertanian dan kehutanan dengan operator (0161 dan 0240), mesin dan peralatan konstruksi dan bangunan sipil dengan operator (Golongan pokok 43), alat transportasi air dengan operator (Golongan pokok 50), alat transportasi udara dengan operator (Golongan pokok 51), kegiatan pembiayaan (finansial leasing masuk 6491) dan kapal pesiar dan sepeda (7721). Penyewaan kendaraan bermotor roda empat atau lebih tanpa operator baik untuk penumpang, rekreasi dan lainnya masuk golongan 771."
2224,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI ALAT TRANSPORTASI",7731,,,,"Subgolongan ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operasional leasing) mesin, peralatan dan barang berwujud tanpa operator yang umumnya dipakai sebagai barang modal usaha. Golongan ini juga mencakup semua jenis peralatan yang digunakan dalam proses produksi.- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi alat transportasi darat (selain mobil, bus, truk, dan sejenisnya) tanpa sopir, seperti sepeda motor, karavan dan camper dan lain-lain dan kendaraan kereta api (kendaraan yang menggunakan rel)- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi alat transportasi air tanpa operator, seperti perahu boat dan kapal komersil - Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi alat transportasi udara tanpa operator, seperti pesawat terbang dan balon udaraSubgolongan ini tidak mencakup :- Kegiatan penyewaan alat tranportasi air dengan operator, lihat bagiaan 50- Kegiatan penyewaan alat trasportasi udara dengan operator, lihat bagian 51- Kegiatan penyewaan kapal pesiar, lihat 7721- Kegiatan penyewaan sepeda, lihat 7721"
2225,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT TRANSPORTASI DARAT BUKAN KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH",77311,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) semua jenis alat transportasi darat bukan kendaraan bermotor roda empat atau lebih (mobil, bis, truk dan sejenisnya) tanpa operatornya, seperti sepeda motor, caravan, camper, railroad vehicle dan sejenisnya.Kelompok ini juga mencakup usaha persewaan peti kemas (container). Persewaan alat transportasi darat dengan operatornya dicakup dalam subgolongan 4922, 4942 dan 4943. Penyewaan alat transportasi darat kendaraan bermotor roda empat atau lebih (mobil, bus, truk dan sejenisnya) tanpa operatornya masuk dalam 77100. Penyewaan sepeda dicakup dalam 77210."
2226,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT TRANSPORTASI AIR",77312,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) alat transportasi air tanpa operatornya, seperti motor boat, perahu, kapal dan sejenisnya. Penyewaan alat transportasi air dengan operatornya dicakup dalam golongan pokok 50 pada kelompok yang bersesuaian. Penyewaan kapal pesiar dicakup dalam 77210."
2227,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT TRANSPORTASI UDARA",77313,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) alat transportasi udara tanpa operatornya, seperti pesawat terbang, balon udara dan sejenisnya. Penyewaan alat transportasi udara dengan operatornya dicakup dalam golongan pokok 51 pada kelompok yang bersesuaian."
2228,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT TRANSPORTASI LAINNYA",77319,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) alat transportasi lainnya."
2229,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI MESIN DAN PERALATAN INDUSTRI KREATIF",7732,,,,"Subgolongan ini mencakup kegiatan penyewaan dan sewa guna barang hak tanpa opsi berupa alat kebutuhan produksi konten kreasi yang mencakup alat rekam gambar &amp; suara, serta alat prosesing digital.Subgolongan ini tidak mencakup:- Kegiatan pembiayaan (financial leasing), lihat 6491"
2230,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI ALAT PEREKAMAN GAMBAR &amp; EDITING",77321,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) mesin, peralatan dan barang kebutuhan shooting yang mencakup sewa alat rekam gambar dan suara berupa kamera, media rekam, pencahayaan, alat editing, alat motion control dan kebutuhan alat penunjang lain yang terkait dengan aktivitas 5911 dan 5912."
2231,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI ALAT ALAT BANTU TEKNOLOGI DIGITAL",77322,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) mesin, peralatan dan barang kebutuhan teknologi digital yang mencakup sewa render farm, sewa motion capture, sewa 3D scanner, dan kebutuhan penunjang lain yang terkait aktivitas 5911 dan 5912. Sewa lisensi software dicakup dalam 58200."
2232,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI ALAT KEBUTUHAN MICE",77323,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) mesin, dan peralatan barang dekorasi kebutuhan Meeting, Incentive, Convention, and Exhibition (MICE) dan penunjang lainnya."
2233,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI MESIN DAN PERALATAN INDUSTRI KREATIF LAINNYA",77329,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) mesin dan peralatan industri kreatif lainnya. Sewa lisensi software termasuk kelompok 58200."
2234,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI MESIN, PERALATAN, DAN BARANG BERWUJUD LAINNYA",7739,,,,"Subgolongan ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operasional leasing) mesin, peralatan dan barang berwujud lainnya, tanpa operator yang umumnya dipakai sebagai barang modal usaha. Golongan ini juga mencakup semua jenis peralatan yang digunakan dalam proses produksi.- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi tanpa operator, dari mesin dan alat lain yang secara umum digunakan sebagai barang modal oleh industri, seperti mesin penggerak atau uap dan turbin, perkakas mesin, alat pertambangan dan perminyakan, peralatan alat pengukur dan pemeriksa, mesin ilmiah, komersil dan industri lainnya- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi alat pertanian dan kehutanan tanpa operator, seperti persewaan produk yang dihasilkan oleh subgolongan 2821, contohnya traktor pertanian dan lain-lain- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi alat konstruksi dan teknik sipil tanpa operator, seperti lori derek (crane lorries) dan tangga dan panggung kerja, tanpa pemancangan dan pembongkaran (scaffold dan work platform)- Kegiatan penyewaan dan sewa guna usaha tanpa hak opsi mesin dan alat kantor tanpa operator, seperti komputer dan peralatan piranti komputer, mesin duplikasi, mesin ketik dan mesin pengolah kata, mesin dan alat penghitung seperti cash register, kalkulator elektronik dan furnitur kantorSubgolongan ini juga mencakup :- Kegiatan penyewaan kontainer akomodasi atau kantor- Kegiatan penyewaan kontainer- Kegiatan penyewaan pallet (alas kontainer)- Kegiatan penyewaan hewan (misal ternak, kuda pacu)Subgolongan ini tidak mencakup :- Kegiatan penyewaan mesin atau alat pertanian dan kehutanan dengan operator, lihat 0161, 0240- Kegiatan penyewaan mesin atau alat konstruksi dan teknik sipil dengan operator, lihat bagian 43"
2235,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN DAN PERALATAN INDUSTRI PENGOLAHAN",77391,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) mesin dan peralatan industri tanpa operator yang secara umum digunakan sebagai barang modal oleh perusahaan, seperti mesin tekstil, mesin pengolahan atau pengerjaan logam dan kayu, mesin percetakan dan mesin las listrik. Termasuk perkakas mesin, alat untuk produksi alat pengukur dan pemeriksa dan mesin ilmiah, komersil dan industri lainnya."
2236,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN PERTANIAN DAN PERALATANNYA",77392,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) mesin dan peralatan pertanian dan kehutanan tanpa operator termasuk perlengkapannya, seperti mesin dan peralatan yang dihasilkan oleh subgolongan 2821, sebagai contoh traktor pertanian dan sejenisnya. Penyewaan mesin dan peralatan pertanian dan kehutanan dengan operatornya termasuk perlengkapannya secara berturut-turut dimasukkan dalam subgolongan 0161 dan 0240."
2237,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN DAN PERALATAN KONSTRUKSI DAN TEKNIK SIPIL",77393,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) mesin dan peralatan konstruksi dan teknik sipil termasuk perlengkapannya tanpa operatornya, seperti lori derek (crane lorries), tangga dan panggung kerja (scaffold dan work platform) tidak termasuk pemasangan dan pemancangannya dan sejenisnya. Penyewaan mesin dan peralatan konstruksi dan teknik sipil termasuk perlengkapannya dengan operatornya dimasukkan dalam 43905."
2238,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN KANTOR DAN PERALATANNYA",77394,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) semua jenis mesin kantor dan peralatannya tanpa operator, seperti mesin tik, mesin akuntansi, mesin dan peralatan penghitung (cash register, kalkulator elektronik dan lain-lain), mesin pengolah data, mesin fotokopi, furnitur kantor dan sejenisnya. Termasuk penyewaan komputer dan perlengkapannya tanpa operatornya."
2239,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI MESIN PERTAMBANGAN DAN ENERGI SERTA PERALATANNYA",77395,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) mesin dan peralatan pertambangan dan penggalian tanpa operator yang secara umum digunakan sebagai barang modal oleh perusahaan, seperti mesin pembangkit listrik. Termasuk mesin penggerak atau uap dan turbin, alat pertambangan dan perminyakan, peralatan radio dan komunikasi profesional."
2240,,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN, PERALATAN DAN BARANG BERWUJUD LAINNYA YTDL",77399,,,,"Kelompok ini mencakup kegiatan penyewaan dan sewa guna usaha tanpa hak opsi (operational leasing) mesin, peralatan dan barang berwujud ytdl dalam subgolongan 7730 yang secara umum digunakan sebagai barang modal, seperti kontainer untuk tempat tinggal atau kantor, palet (alat pengangkat kontainer) dan sejenisnya. Termasuk penyewaan alat pemindaian bagasi dengan sumber radiasi pengion dan penyewaan hewan ternak, kuda pacu dan sejenisnya."
2241,,"SEWA GUNA USAHA TANPA HAK OPSI ASET NON FINANSIAL, BUKAN KARYA HAK CIPTA",774,,,,"Golongan ini mencakup kegiatan yang mengizinkan pihak lain menggunakan aset non finansial di mana pembayaran royalti atau balas jasa lisensi dibayarkan pada pemilik aset. Pengguna aset ini dapat menggunakan berbagai bentuk, seperti izin untuk reproduksi, penggunaan pada produk atau proses selanjutnya, pengoperasian bisnis atau usaha dengan cara franchise atau waralaba dan lain-lain.Golongan ini mencakup kegiatan sewa guna usaha tanpa hak opsi (operational leasing) aset tak berwujud non finansial (bukan karya cipta yang dilindungi seperti buku atau software), seperti halnya penerima royalti atau balas jasa lisensi untuk penggunaan hak paten, seperti trade mark atau service mark, brand name, izin eksplorasi mineral, perjanjian franchise atau waralaba dan aset tak berwujud non finansial lainnya."
2242,,"SEWA GUNA USAHA TANPA HAK OPSI INTELEKTUAL PROPERTI, BUKAN KARYA HAK CIPTA",7740,,,,"Subgolongan ini mencakup kegiatan yang memperbolehkan pihak lain untuk menggunakan aset non finansial di mana pembayaran royalti atau balas jasa lisensi yang dibayar ke pemegang aset. Penggunaan aset tersebut dapat berbagai macam bentuk, seperti izin reproduksi, digunakan dalam proses atau produksi berikut, pengoperasian bisnis di bawah sistem waralaba dan lain-lain. Pemilik sekarang mungkin yang membuat atau mungkin tidak aset tersebut.Subgolongan ini mencakup :- Sewa guna usaha tanpa hak opsi (operational leasing) intelektual properti yang tak berwujud (bukan karya/hak cipta seperti buku atau piranti lunak) - Penerimaan royalti atau balas jasa lisensi untuk penggunaan, seperti entitas yang dipatenkan, trade mark dan service mark, brand name, hak eksplorasi barang tambang/mineral, perjanjian franchise/waralaba dan intelektual properti yang tak berwujud lainnyaSubgolongan ini tidak mencakup :- Penerimaan pendapatan dari hak dan penerbitan buku dan software, film dan musik, lihat golongan pokok 58, 59- Produksi, produksi kembali dan distribusi karya/hak cipta (buku, piranti lunak, film), lihat golongan pokok 58, 59- Kegiatan penyewaan real estat, lihat 681- Kegiatan penyewaan aset berwujud (barang), lihat kelompok 771, 772, 773- Kegiatan penyewaan kaset video dan disket, lihat 7722- Kegiatan penyewaan buku, lihat 7729"
2243,,"SEWA GUNA USAHA TANPA HAK OPSI INTELEKTUAL PROPERTI, BUKAN KARYA HAK CIPTA",77400,,,,"Kelompok ini mencakup usaha yang kegiatan memperbolehkan pihak lain menggunakan aset non finansial di mana pembayaran royalti atau balas jasa lisensi yang dibayar ke pemegang aset. Penggunaan aset tersebut dapat berbagai macam bentuk, seperti izin reproduksi, digunakan dalam proses atau produksi berikut, pengoperasian bisnis di bawah sistem waralaba dan lain-lain. Pemilik intelektual properti dapat sekaligus pembuatnya atau juga bukan. kegiatan yang dicakup meliputi sewa guna usaha tanpa hak opsi (operational leasing) intelektual properti yang tak berwujud (bukan karya/hak cipta seperti buku atau piranti lunak) dan penerimaan royalti atau balas jasa lisensi untuk penggunaan, seperti entitas yang dipatenkan, trade mark dan service mark, brand name, hak eksplorasi barang tambang/mineral, perjanjian franchise/waralaba dan intelektual properti yang tak berwujud lainnya."
2244,,"AKTIVITAS KETENAGAKERJAAN",78,,,,"Golongan pokok ini mencakup kegiatan pendaftaran pekerjaan dan penempatan tenaga kerja pada suatu pekerjaan, di mana penunjukkan atau penempatan pencari kerja yang bukan pekerja atau buruh perusahaan jasa penyedia tenaga kerja untuk pemberi kerja pada jangka waktu terbatas dalam rangka penambahan tenaga kerja dan kegiatan penyediaan sumber daya manusia dan manajemen sumber daya manusia untuk pihak lain berdasarkan balas jasa dan kontrak. Golongan pokok ini mencakup kegiatan pencarian dan penempatan pekerja atau buruh eksekutif, termasuk untuk pemilihan pemain teater."
2245,,"AKTIVITAS PENEMPATAN TENAGA KERJA",781,,,,"Golongan ini mencakup kegiatan pemenuhan permintaan tenaga kerja dengan pendaftaran pekerjaan dan penempatan tenaga kerja pada suatu pekerjaan, di mana penetapan dan penempatan individu yang bukan pegawai perusahaan penempatan tenaga kerja. Golongan ini mencakup kegiatan pencarian, penyeleksian dan penempatan, termasuk pencarian dan penempatan pekerja atau buruh eksekutif, pemilihan pemain teater, agen penempatan pekerja secara on-line. Golongan ini tidak mencakup kegiatan sponsor artis atau pemain teater perorangan."
2246,,"AKTIVITAS PENEMPATAN TENAGA KERJA",7810,,,,"Subgolongan ini mencakup pendaftaran pekerjaan dan penempatan tenaga kerja pada suatu pekerjaan, di mana seseorang yang ditempatkan bukan sebagai pekerja dari perusahaan penempatan tenaga kerja.Subgolongan ini mencakup :- Pencarian pekerja atau buruh, penyeleksian dan penempatan termasuk pencarian dan penempatan pekerja atau buruh eksekutif- Kegiatan agensi casting seperti pemilihan pemain teater dan sejenisnya - Kegiatan penempatan tenaga kerja on-lineSubgolongan ini tidak mencakup :- Kegiatan agen atau sponsor artis dan pemain teater perorangan, lihat 7490"
2247,,"AKTIVITAS PENYELEKSIAN DAN PENEMPATAN TENAGA KERJA DALAM NEGERI",78101,,,,"Kelompok ini mencakup kegiatan pendaftaran, penyeleksian dan penempatan tenaga kerja dalam negeri di berbagai bidang usaha yang dilakukan atas dasar Perjanjian Kerja melalui aktivitas bursa kerja, mekanisme antar kerja lokal dan antar kerja antar daerah oleh Lembaga Penempatan Tenaga Kerja Swasta (LPTKS), dan perusahaan perekrutan dan penempatan awak kapal di dalam negeri berdasarkan perjanjian kerja laut dan/atau kesepakatan kerja bersama (colletive bargaining agreement). Termasuk pula penyediaan tenaga kerja eksekutif kepada pihak lain."
2248,,"AKTIVITAS PENYELEKSIAN DAN PENEMPATAN TENAGA KERJA LUAR NEGERI",78102,,,,"Kelompok ini mencakup kegiatan penyampaian informasi, pendaftaran, penyeleksian dan penempatan serta pelindungan pekerja migran indonesia yang bekerja pada pemberi kerja di luar negeri di berbagai bidang usaha melalui mekanisme antar kerja antar negara oleh Perusahaan Penempatan Pekerja Migran Indonesia (P3MI) atas dasar perjanjian kerja yang disepakati antara pemberi kerja dan pekerja migran indonesia dan diketahui pejabat yang ditunjuk, dan penempatan awak kapal niaga migran dan awak kapal perikanan migran di luar negeri berdasarkan perjanjian kerja laut dan/atau kesepakatan kerja bersama (colletive bargaining agreement). Termasuk penyediaan tenaga kerja eksekutif kepada pihak lain."
2249,,"AKTIVITAS PENEMPATAN PEKERJA RUMAH TANGGA",78103,,,,"Kelompok ini mencakup usaha jasa pendaftaran, pelatihan, penyeleksian dan penempatan serta pelindungan pekerja rumah tangga oleh Lembaga Penyalur Pekerja Rumah Tangga (LPPRT), seperti pekerja rumah tangga, pengasuh balita, perawat non-medis lansia, penjaga toko di dalam negeri oleh LPPRT atas dasar perjanjian kerja dan perjanjian penempatan yang mendapatkan izin dari pejabat yang ditunjuk."
2250,,"AKTIVITAS PENEMPATAN TENAGA KERJA DARING (JOB PORTAL)",78104,,,,"Kelompok ini mencakup usaha jasa pendaftaran pencari kerja,lowongan kerja dan fasilitasi penempatan tenaga kerja yang aktivitasnya meliputi pemberian informasi lowongan kerja kepada pencari kerja dan memberikan informasi data dan kompetensi pencari kerja kepada pemberi kerja yang dilakukan secara daring oleh Pelaksana Job Portal yang beroperasi di Indonesia dan mendapat legalisasi dari pemerintah."
2251,,"AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU",782,,,,"Golongan ini mencakup kegiatan penyediaan tenaga kerja untuk pemberi kerja pada jangka waktu tertentu dalam rangka penambahan tenaga kerja, di mana penyediaan tenaga kerja adalah pegawai tidak tetap atau sementara yang membantu suatu unit. Kegiatan yang diklasifikasikan di sini tidak menyediakan pengawas langsung untuk pekerja sementara yang ditempatkan pada pemberi kerja."
2252,,"AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU",7820,,,,"Subgolongan ini mencakup kegiatan penyediaan tenaga kerja untuk pemberi kerja pada jangka waktu tertentu dalam rangka penambahan tenaga kerja, di mana penyediaan tenaga kerja adalah pegawai tidak tetap atau sementara yang membantu suatu unit. Kegiatan yang diklasifikasikan di sini tidak menyediakan pengawas langsung untuk pekerja sementara yang ditempatkan pada pemberi kerja."
2253,,"AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU",78200,,,,"Kelompok ini mencakup kegiatan penyediaan tenaga kerja untuk pemberi kerja pada jangka waktu tertentu dalam rangka penambahan tenaga kerja, di mana penyediaan tenaga kerja adalah pegawai tidak tetap atau sementara yang membantu suatu unit. Kegiatan yang diklasifikasikan di sini tidak menyediakan pengawas langsung untuk pekerja yang ditempatkan pada pemberi kerja. Kegiatannya seperti jasa penyediaan tenaga penjaga stand pameran."
2254,,"PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA",783,,,,"Golongan ini mencakup kegiatan penyediaan sumber daya manusia dan jasa manajemen sumber daya manusia untuk pemberi kerja. Kegiatan ini secara khusus menyelenggarakan dalam cakupan luas sumber daya manusia dan tugas manajemen personil. Kegiatan ini mewakili pihak pengusaha dalam pencatatan pekerja dalam hal yang berhubungan dengan daftar gaji atau upah, pajak dan masalah fiskal dan sumber daya manusia lain."
